,Date,Colony,sub,Treatment,Half,Old,Young
1,20190626,Trixie,1,III,First,228,33
2,20190626,Trixie,1,III,Last,237,148
3,20190627,Trixie,2,II,First,196,166
4,20190627,Trixie,2,II,Last,339,306
5,20190628,Akeria,2,IV,First,192,16
6,20190628,Akeria,2,IV,Last,468,138
7,20190629,Akeria,1,I,First,69,26
8,20190629,Akeria,1,I,Last,197,137
9,20190701,Grace,1,IV,First,67,373
10,20190701,Grace,1,IV,Last,52,486
11,20190703,Grace,2,I,First,143,164
12,20190703,Grace,2,I,Last,128,244
13,20190705,Danny,1,III,First,89,217
14,20190705,Danny,1,III,Last,162,159
15,20190706,Danny,2,II,First,137,160
16,20190706,Danny,2,II,Last,162,137
17,20190707,Silky,1,I,First,140,145
18,20190707,Silky,1,I,Last,200,226
19,20190708,Silky,2,IV,First,25,132
20,20190708,Silky,2,IV,Last,32,240
21,20190710,Evie,1,II,First,26,318
22,20190710,Evie,1,II,Last,10,386
23,20190711,Evie,2,III,First,59,142
24,20190711,Evie,2,III,Last,63,282
25,20190712,Brooklyn,1,III,First,41,63
26,20190712,Brooklyn,1,III,Last,22,74
27,20190713,Brooklyn,2,II,First,0,64
28,20190713,Brooklyn,2,II,Last,17,161
29,20190715,Scarlett,2,II,First,19,211
30,20190715,Scarlett,2,II,Last,6,313
31,20190716,Scarlett,1,III,First,7,38
32,20190716,Scarlett,1,III,Last,0,195
33,20190717,Greybeard,1,IV,First,33,83
34,20190717,Greybeard,1,IV,Last,4,266
35,20190718,Greybeard,2,I,First,43,59
36,20190718,Greybeard,2,I,Last,26,139
37,20190719,Nina,2,III,First,385,35
38,20190719,Nina,2,III,Last,405,68
39,20190720,Nina,1,II,First,173,63
40,20190720,Nina,1,II,Last,250,144
41,20190721,Miriam,2,I,First,256,82
42,20190721,Miriam,2,I,Last,312,137
43,20190722,Miriam,1,IV,First,246,83
44,20190722,Miriam,1,IV,Last,249,139
45,20190803,Honey,1,I,First,221,190
46,20190803,Honey,1,I,Last,182,169
47,20190804,Honey,2,IV,First,118,267
48,20190804,Honey,2,IV,Last,157,268
49,20190805,Sasha,1,II,First,258,135
50,20190805,Sasha,1,II,Last,266,262
51,20190806,Sasha,2,III,First,297,183
52,20190806,Sasha,2,III,Last,408,280
53,20190807,Moira,2,IV,First,113,343
54,20190807,Moira,2,IV,Last,100,324
55,20190808,Moira,1,I,First,124,280
56,20190808,Moira,1,I,Last,103,188
57,20190809,Naomi,1,II,First,316,30
58,20190809,Naomi,1,II,Last,343,29
59,20190810,Naomi,2,III,First,409,87
60,20190810,Naomi,2,III,Last,347,113
61,20190812,Vanjie,2,IV,First,271,13
62,20190812,Vanjie,2,IV,Last,206,41
63,20190813,Vanjie,1,I,First,99,6
64,20190813,Vanjie,1,I,Last,84,27
65,20190814,Rebecca,1,I,First,424,71
66,20190814,Rebecca,1,I,Last,516,116
67,20190815,Rebecca,2,IV,First,415,108
68,20190815,Rebecca,2,IV,Last,330,109
69,20190819,Dana,1,I,First,421,33
70,20190819,Dana,1,I,Last,461,50
71,20190820,Dana,2,IV,First,297,92
72,20190820,Dana,2,IV,Last,294,121
73,20190821,Gondor,2,III,First,297,14
74,20190821,Gondor,2,III,Last,296,35
75,20190822,Gondor,1,II,First,77,8
76,20190822,Gondor,1,II,Last,318,52
77,20190823,Amber,1,II,First,148,290
78,20190823,Amber,1,II,Last,198,255
79,20190824,Amber,2,III,First,131,189
80,20190824,Amber,2,III,Last,143,200
