Date,Colony,sub,Treatment,Treated.leaf,Hour,Forager.age,LS,HH,,,,,,,,
20190626,Trixie,1,III,LS,0,Old,8,20,,,,,,,,
20190626,Trixie,1,III,LS,0,Young,0,0,,,,,,,,
20190626,Trixie,1,III,LS,1,Old,18,42,,,,,,,,
20190626,Trixie,1,III,LS,1,Young,0,0,,,,,,,,
20190626,Trixie,1,III,LS,2,Old,19,51,,,,,,,,
20190626,Trixie,1,III,LS,2,Young,11,1,,,,,,,,
20190626,Trixie,1,III,LS,3,Old,25,45,,,,,,,,
20190626,Trixie,1,III,LS,3,Young,20,1,,,,,,,,
20190626,Trixie,1,III,LS,4,Old,23,41,,,,,,,,
20190626,Trixie,1,III,LS,4,Young,3,9,,,,,,,,
20190626,Trixie,1,III,LS,5,Old,15,28,,,,,,,,
20190626,Trixie,1,III,LS,5,Young,12,16,,,,,,,,
20190626,Trixie,1,III,LS,6,Old,10,37,,,,,,,,
20190626,Trixie,1,III,LS,6,Young,34,10,,,,,,,,
20190626,Trixie,1,III,LS,7,Old,15,32,,,,,,,,
20190626,Trixie,1,III,LS,7,Young,27,13,,,,,,,,
20190626,Trixie,1,III,LS,7.5,Old,13,23,,,,,,,,
20190626,Trixie,1,III,LS,7.5,Young,19,5,,,,,,,,
20190627,Trixie,2,II,LS,0,Old,12,3,,,,,,,,
20190627,Trixie,2,II,LS,0,Young,14,5,,,,,,,,
20190627,Trixie,2,II,LS,1,Old,33,4,,,,,,,,
20190627,Trixie,2,II,LS,1,Young,28,13,,,,,,,,
20190627,Trixie,2,II,LS,2,Old,57,13,,,,,,,,
20190627,Trixie,2,II,LS,2,Young,37,21,,,,,,,,
20190627,Trixie,2,II,LS,3,Old,61,13,,,,,,,,
20190627,Trixie,2,II,LS,3,Young,28,20,,,,,,,,
20190627,Trixie,2,II,LS,4,Old,44,10,,,,,,,,
20190627,Trixie,2,II,LS,4,Young,24,9,,,,,,,,
20190627,Trixie,2,II,LS,5,Old,55,9,,,,,,,,
20190627,Trixie,2,II,LS,5,Young,48,23,,,,,,,,
20190627,Trixie,2,II,LS,6,Old,74,2,,,,,,,,
20190627,Trixie,2,II,LS,6,Young,42,25,,,,,,,,
20190627,Trixie,2,II,LS,7,Old,92,11,,,,,,,,
20190627,Trixie,2,II,LS,7,Young,48,43,,,,,,,,
20190627,Trixie,2,II,LS,7.5,Old,34,8,,,,,,,,
20190627,Trixie,2,II,LS,7.5,Young,19,25,,,,,,,,
